Country,Year,Thousand Units (Bags of 60 kg)
USA,2019,26865.66
USA,2018,26514.33
USA,2017,26183
USA,2016,25243
USA,2015,24438
USA,2014,23767
USA,2013,23417
USA,2012,22231.66
USA,2011,22043.89
USA,2010,21783.46
USA,2009,21435.97
USA,2008,21652.43
USA,2007,21033.27
USA,2006,20667.38
USA,2005,20997.55
USA,2004,20972.76
USA,2003,20192.68
USA,2002,19124.51
USA,2001,19553.65
USA,2000,18745.56
USA,1999,19359.43
USA,1998,18603.8
USA,1997,17795.45
USA,1996,18059
USA,1995,17362.87
USA,1994,17326.1
USA,1993,19217.14
USA,1992,18290.45
USA,1991,18661.18
USA,1990,18297.62
Brazil,2019,22644
Brazil,2018,22250
Brazil,2017,21997
Brazil,2016,21225
Brazil,2015,20508
Brazil,2014,20333
Brazil,2013,20085
Brazil,2012,20330
Brazil,2011,19720
Brazil,2010,19132
Brazil,2009,18390
Brazil,2008,17660
Brazil,2007,17110
Brazil,2006,16331
Brazil,2005,15538
Brazil,2004,14946
Brazil,2003,14200
Brazil,2002,13750
Brazil,2001,13590
Brazil,2000,13200
Brazil,1999,12700
Brazil,1998,12200
Brazil,1997,11500
Brazil,1996,11000
Brazil,1995,10100
Brazil,1994,9300
Brazil,1993,9100
Brazil,1992,8900
Brazil,1991,8500
Brazil,1990,8200
Japan,2019,7903.48
Japan,2018,7833.6
Japan,2017,7742
Japan,2016,7872
Japan,2015,7695
Japan,2014,7494
Japan,2013,7435
Japan,2012,7130.95
Japan,2011,7014.85
Japan,2010,7192.4
Japan,2009,7130.4
Japan,2008,7064.69
Japan,2007,7282.08
Japan,2006,7268.19
Japan,2005,7127.95
Japan,2004,7116.98
Japan,2003,6769.77
Japan,2002,6874.7
Japan,2001,6935.6
Japan,2000,6625.66
Japan,1999,6272.9
Japan,1998,6051.95
Japan,1997,5968.17
Japan,1996,5837.95
Japan,1995,6116.01
Japan,1994,5973.03
Japan,1993,5739.84
Japan,1992,5132.43
Japan,1991,5808.97
Japan,1990,5059.85
Indonesia,2019,4957
Indonesia,2018,4800
Indonesia,2017,4750
Indonesia,2016,4650
Indonesia,2015,4550
Indonesia,2014,4417
Indonesia,2013,4250
Indonesia,2012,3900
Indonesia,2011,3667
Indonesia,2010,3333
Indonesia,2009,3333
Indonesia,2008,3333
Indonesia,2007,3333
Indonesia,2006,2833
Indonesia,2005,2500
Indonesia,2004,2000
Indonesia,2003,1833
Indonesia,2002,1779
Indonesia,2001,2000
Indonesia,2000,1676
Indonesia,1999,1626
Indonesia,1998,1578
Indonesia,1997,1532
Indonesia,1996,1486
Indonesia,1995,1443
Indonesia,1994,1400
Indonesia,1993,1359
Indonesia,1992,1319
Indonesia,1991,1280
Indonesia,1990,1242
