Country,Year,Value (t)
United States of America,2023,1276122.48
Germany,2023,985742.46
Italy,2023,645877.35
Japan,2023,355651.55
Spain,2023,305667.2
Belgium,2023,293127.16
France,2023,225718.39
Netherlands (Kingdom of the),2023,217574.46
Switzerland,2023,192739.74
Canada,2023,187989.39
United Kingdom of Great Britain and Northern Ireland,2023,169022.51
"China, mainland",2023,139945.35
Republic of Korea,2023,130824.44
Poland,2023,122697.19
Australia,2023,95778.14
T�rkiye,2023,93277.99
Sweden,2023,92463.39
India,2023,90809.97
Colombia,2023,90507.64
Malaysia,2023,72110.77
United States of America,2022,1512848.13
Germany,2022,1150599.5
Italy,2022,674447.65
Japan,2022,390032.53
Belgium,2022,385544.56
Spain,2022,346632.42
Netherlands (Kingdom of the),2022,242600.34
France,2022,218714.66
Switzerland,2022,210899.41
Canada,2022,206470.14
United Kingdom of Great Britain and Northern Ireland,2022,186771.15
Republic of Korea,2022,181641.03
Colombia,2022,142485.12
Poland,2022,120336.03
"China, mainland",2022,108261.09
Australia,2022,105340.38
Sweden,2022,104942.24
India,2022,102214.95
Malaysia,2022,100013.58
Russian Federation,2022,89841.51
United States of America,2021,1470259.06
Germany,2021,1112216.52
Italy,2021,619475.63
Japan,2021,402099.98
Belgium,2021,340066.27
Spain,2021,310115.46
France,2021,228078.03
Russian Federation,2021,205353.72
Switzerland,2021,204686.23
Canada,2021,201156.08
Netherlands (Kingdom of the),2021,192114.29
Republic of Korea,2021,165059.74
United Kingdom of Great Britain and Northern Ireland,2021,155020.44
Algeria,2021,141949.43
Poland,2021,128876.52
"China, mainland",2021,106472.3
Colombia,2021,102803.86
Australia,2021,97846.66
Sweden,2021,96849.21
Malaysia,2021,96151.34
United States of America,2020,1427849.36
Germany,2020,1120426.45
Italy,2020,566783.31
Japan,2020,391611.22
Spain,2020,317416.77
Belgium,2020,314422.78
France,2020,234312.59
Russian Federation,2020,198323.07
Switzerland,2020,191821.65
Netherlands (Kingdom of the),2020,189183.95
Canada,2020,188996.7
United Kingdom of Great Britain and Northern Ireland,2020,162379.62
Republic of Korea,2020,159748.16
Poland,2020,128712.87
Algeria,2020,125889.43
Sweden,2020,109758.93
Malaysia,2020,104639.98
Australia,2020,90625.86
T�rkiye,2020,79070.53
India,2020,77584.48
United States of America,2019,1592249.37
Germany,2019,1135346.52
Italy,2019,615971.96
Japan,2019,436545.99
Belgium,2019,307542.33
Spain,2019,305035.38
France,2019,230018.5
Canada,2019,208843.38
Netherlands (Kingdom of the),2019,206382.13
United Kingdom of Great Britain and Northern Ireland,2019,189610.56
Russian Federation,2019,185615.87
Switzerland,2019,175317.91
Republic of Korea,2019,152012.92
Poland,2019,123427.75
Algeria,2019,121434.21
Sweden,2019,111506.71
Malaysia,2019,110028.32
Australia,2019,95710.92
India,2019,83660.74
Finland,2019,75052.26
United States of America,2018,1493440.21
Germany,2018,1124982.67
Italy,2018,606995.25
Japan,2018,401144.06
Spain,2018,289358.18
Belgium,2018,281343.96
France,2018,227462.61
Netherlands (Kingdom of the),2018,202695.89
Canada,2018,200584.37
United Kingdom of Great Britain and Northern Ireland,2018,196962.46
Russian Federation,2018,168540.47
Switzerland,2018,167537.52
Republic of Korea,2018,145051.1
Poland,2018,123005.26
Algeria,2018,115000
Sweden,2018,106762.83
Malaysia,2018,103633.57
Australia,2018,92102.33
India,2018,83932.11
Indonesia,2018,77815.49
United States of America,2017,1531320.71
Germany,2017,1098832.91
Italy,2017,569916.32
Japan,2017,406330.14
Belgium,2017,276473.01
Spain,2017,273842.07
France,2017,204873.35
Canada,2017,202563.41
Netherlands (Kingdom of the),2017,190213.63
United Kingdom of Great Britain and Northern Ireland,2017,165863.11
Russian Federation,2017,165409.91
Switzerland,2017,156287.97
Republic of Korea,2017,147501.04
Algeria,2017,130311.85
Poland,2017,117069.62
Sweden,2017,108409.33
Australia,2017,91375.78
Malaysia,2017,90024.85
India,2017,76082.16
Finland,2017,67392.02
United States of America,2016,1518125.65
Germany,2016,1140988.83
Italy,2016,580273.85
Japan,2016,435140.11
Belgium,2016,288740.11
Spain,2016,287503.91
France,2016,209884.1
Canada,2016,183894.32
United Kingdom of Great Britain and Northern Ireland,2016,178346.52
Netherlands (Kingdom of the),2016,166333.83
Switzerland,2016,151643.6
Russian Federation,2016,150932.22
Republic of Korea,2016,142860.38
Algeria,2016,138298.05
Sweden,2016,110651.93
Poland,2016,103553.72
Malaysia,2016,86961.92
Australia,2016,83039.32
Finland,2016,71324.25
India,2016,71001.55
United States of America,2015,1462569.95
Germany,2015,1077756.89
Italy,2015,533179.92
Japan,2015,435261.04
Belgium,2015,287383.17
Spain,2015,278654.09
France,2015,218429.44
United Kingdom of Great Britain and Northern Ireland,2015,171050.88
Canada,2015,169497.86
Netherlands (Kingdom of the),2015,159254.4
Switzerland,2015,148404.29
Russian Federation,2015,137565.52
Republic of Korea,2015,129566.87
Algeria,2015,128732.82
Poland,2015,104253.97
Sweden,2015,98895.06
Malaysia,2015,82841.28
Australia,2015,82255.72
Finland,2015,67712.25
India,2015,65312.1
