Entity,Code,Year,Total_GreenBeans_Tonnes
Africa,,2000,1277578.2
Africa (FAO),,2000,1277578.2
Americas (FAO),,2000,4188908.8
Angola,AGO,2000,4260
Asia,,2000,1949181
Asia (FAO),,2000,1949181
Belize,BLZ,2000,165
Benin,BEN,2000,142.51
Bolivia,BOL,2000,27696
Brazil,BRA,2000,1903562
Burundi,BDI,2000,67439
Cambodia,KHM,2000,300
Cameroon,CMR,2000,86200
Caribbean (FAO),,2000,103611.71
Central African Republic,CAF,2000,12900
Central America (FAO),,2000,1211647
China,CHN,2000,11568
China (FAO),,2000,11568
Colombia,COL,2000,637140
Comoros,COM,2000,98
Congo,COG,2000,1550
Cook Islands,COK,2000,6.5
Costa Rica,CRI,2000,161395
Cote d'Ivoire,CIV,2000,380000
Cuba,CUB,2000,16500
Democratic Republic of Congo,COD,2000,46767
Dominica,DMA,2000,307.71
Dominican Republic,DOM,2000,45546
East Timor,TLS,2000,13000
Eastern Africa (FAO),,2000,679350
Eastern Asia (FAO),,2000,11568
Ecuador,ECU,2000,27606
El Salvador,SLV,2000,114087
Equatorial Guinea,GNQ,2000,5000
Ethiopia,ETH,2000,229980
Fiji,FJI,2000,15
French Polynesia,PYF,2000,17.61
Gabon,GAB,2000,198
Ghana,GHA,2000,1956
Guadeloupe,GLP,2000,35
Guatemala,GTM,2000,312060
Guinea,GIN,2000,22080
Guyana,GUY,2000,15
Haiti,HTI,2000,30000
High-income countries,,2000,184453.61
Honduras,HND,2000,193309
India,IND,2000,292000
Indonesia,IDN,2000,554574
Jamaica,JAM,2000,2220
Kenya,KEN,2000,100700
Land Locked Developing Countries (FAO),,2000,539826
Laos,LAO,2000,23500
Least Developed Countries (FAO),,2000,769379.3
Liberia,LBR,2000,3126.8
Low Income Food Deficit Countries (FAO),,2000,1003775.3
Low-income countries,,2000,623808.8
Lower-middle-income countries,,2000,2326994.5
Madagascar,MDG,2000,58080
Malawi,MWI,2000,3780
Malaysia,MYS,2000,39800
Martinique,MTQ,2000,40
Melanesia,OWID_MNS,2000,83063
Mexico,MEX,2000,338170
Middle Africa (FAO),,2000,156893
Mozambique,MOZ,2000,600
Myanmar,MMR,2000,2100
Nepal,NPL,2000,72
Net Food Importing Developing Countries (FAO),,2000,1902863.1
New Caledonia,NCL,2000,18
Nicaragua,NIC,2000,82206
Nigeria,NGA,2000,3830
North America,,2000,1319208.8
Northern America (FAO),,2000,3950
Oceania,,2000,83109.19
Oceania (FAO),,2000,83109.18
Panama,PAN,2000,10255
Papua New Guinea,PNG,2000,83000
Paraguay,PRY,2000,3586
Peru,PER,2000,191651
Philippines,PHL,2000,107557
Polynesia,OWID_PYA,2000,46.18
Puerto Rico,PRI,2000,8250
Rwanda,RWA,2000,16098
Saint Vincent and the Grenadines,VCT,2000,160
Samoa,WSM,2000,8
Sao Tome and Principe,STP,2000,18
Sierra Leone,SLE,2000,15000
Small Island Developing States (FAO),,2000,200020.89
South America,,2000,2869700
South America (FAO),,2000,2869700
South-eastern Asia (FAO),,2000,1624388
Southern Asia (FAO),,2000,301862
Sri Lanka,LKA,2000,9790
Suriname,SUR,2000,4
Taiwan,TWN,2000,0
Tanzania,TZA,2000,47800
Thailand,THA,2000,81057
Togo,TGO,2000,15200
Tonga,TON,2000,14.08
Trinidad and Tobago,TTO,2000,553
Uganda,UGA,2000,143475
United States,USA,2000,3950
Upper-middle-income countries,,2000,4363439
Vanuatu,VUT,2000,30
Venezuela,VEN,2000,78440
Vietnam,VNM,2000,802500
Western Africa (FAO),,2000,441335.3
Western Asia (FAO),,2000,11363
World,OWID_WRL,2000,7498777
Yemen,YEM,2000,11363
Zambia,ZMB,2000,2200
Zimbabwe,ZWE,2000,9100
Africa,,2001,1121398.8
Africa (FAO),,2001,1121398.8
Americas (FAO),,2001,4165133.5
Angola,AGO,2001,3300
Asia,,2001,2029551
Asia (FAO),,2001,2029551
Belize,BLZ,2001,229
Benin,BEN,2001,150
Bolivia,BOL,2001,24086
Brazil,BRA,2001,1819569
Burundi,BDI,2001,70980
Cambodia,KHM,2001,300
Cameroon,CMR,2001,70500
Caribbean (FAO),,2001,91651.72
Central African Republic,CAF,2001,12300
Central America (FAO),,2001,1114229.9
China,CHN,2001,17202
China (FAO),,2001,17202
Colombia,COL,2001,656160
Comoros,COM,2001,100.99
Congo,COG,2001,1612
Cook Islands,COK,2001,6.62
Costa Rica,CRI,2001,150289
Cote d'Ivoire,CIV,2001,301127
Cuba,CUB,2001,15720
Democratic Republic of Congo,COD,2001,34723
Dominica,DMA,2001,289.72
Dominican Republic,DOM,2001,35476
East Timor,TLS,2001,14134
Eastern Africa (FAO),,2001,636830.44
Eastern Asia (FAO),,2001,17202
Ecuador,ECU,2001,164790
El Salvador,SLV,2001,112201
Equatorial Guinea,GNQ,2001,5000
Ethiopia,ETH,2001,157155
Fiji,FJI,2001,16.15
French Polynesia,PYF,2001,17.55
Gabon,GAB,2001,78
Ghana,GHA,2001,1379
Guadeloupe,GLP,2001,35
Guatemala,GTM,2001,261096.84
Guinea,GIN,2001,14160
Guyana,GUY,2001,153
Haiti,HTI,2001,28000
High-income countries,,2001,178275.55
Honduras,HND,2001,205545
India,IND,2001,301000
